Model,Company,Color,Type,Average Rating,Number of Ratings,Selling Price,Maximum Retail Price,Discount
Kk2 Single-Side Talking K1 Lightweight Wireless Bluetoo...,Kk2,Black, True Wireless,4.2,35,186,689,503
Sony Wi-C200 Bluetooth Headset,Sony,Black, In the Ear,4,35,2069,699,1370
Amj Hbs_730Bluetooth Bluetooth Headset,Amj,Black, In the Ear,3.5,140,220,699,479
Catbull Magnetic_Bt In-Ear Bluetooth Headsets Bluetooth...,Catbull,Black, In the Ear,3.9,246,132,699,567
Catbull In-Ear Bluetooth Headsets Bluetooth Headset,Catbull,Black, In the Ear,3.6,1318,130,699,569
Meoww 3.5Mm Deep Bass For O_Ppo Reno Series Wired Heads...,Meoww,White, In the Ear,3.9,3281,170,699,529
Catbull In-Ear Bluetooth Headsets Bluetooth Headset,Catbull,Black, In the Ear,3.7,6288,130,699,569
Catbull Magnetic_Bt In-Ear Bluetooth Headsets Bluetooth...,Catbull,Black, In the Ear,3.7,10787,132,699,567
Enmora Headsphone Bluetooth|Headset Bluetooth|Earbud He...,Enmora,Black, In the Ear,3.9,13517,222,699,477
Fier Blutooth Headphone-Zee-K1-1 Bluetooth Headset Blue...,Fier,Black, White,3.9,14974,231,699,468
Nirum Hbs-730 Wireless/Bluetooth For All Smart Mobiles ...,Nirum,Multicolor, In the Ear,4.1,28686,220,699,479
Enacfire E60 Bullets Wireless Z Bass Edition Neckband H...,Enacfire,Reverb black, In the Ear,3.8,48825,599,699,100
Realme Buds Classic Rma2001 Wired Earphones With Hd Mic...,Realme,White, In the Ear,4.2,105190,399,699,300
Casadomani Sport Stereo Earbud Wireless With Mic Mini B...,Casadomani,White, True Wireless,4,50,359,700,341
Hsj Original Stereo Audio Wired Headset,Hsj,White, In the Ear,3.4,94,248,700,452
Casa Tech Wired Extra Bass On-Ear Headphones Wired Head...,Casa,Blue, On the Ear,3.6,464,239,700,461
Casa Tech Wired Extra Bass On-Ear Headphones Wired Head...,Casa,Blue, On the Ear,3.8,9600,239,700,461
Miniso We Bare Bears In-Ear Headphones With Microphone ...,Miniso,Pink, In the Ear,4,41082,250,700,450
Hsj Original Stereo Audio Wired Headset,Hsj,White, In the Ear,4,333036,248,700,452
"Allmusic Op.Po F11 Pro,A3S,F9 Pro,K1,A5,A7,F9,F7,A5S,F5...",Allmusic,Black, In the Ear,3.7,85,199,749,550
Tecno Ace A2 Bluetooth Headset,Tecno,Black, In the Ear,3.3,1842,590,775,185
Brd Bluetoothheadset-A17 Bluetooth Headset,Brd,White, True Wireless,3.7,3672,170,798,628
"Fier Fgn-K1B,K1W Pack 2Bluetooth,Headphone Bluetooth He...",Fier,Black, White,5,347643,217,799,582
"Fier Fgn-K1B,K1W Pack 2Bluetooth,Headphone Bluetooth He...",Fier,Black, White,3.8,3594,217,799,582
Pearl Entities Preget Wired Headset,Pearl,Blue, Black,5,131854,284,799,515
Pearl Entities Preget Wired Headset,Pearl,Blue, Black,3.7,1215088,284,799,515
Realme Buds Q Bluetooth Headset,Realme,White, True Wireless,1,1264179,1999,799,1200
The Gifting Tree Kdm M8 Wired Headset Wired Headset,The,Black, In the Ear,3.3,3,279,799,520
"Amj Audio Headsets With 10Mm Drivers, Sports Bluetooth ...",Amj,Black, In the Ear,4.4,23,369,799,430
"Fier Fgn-K1B,K1W Pack 2Bluetooth,Headphone Bluetooth He...",Fier,Black, White,3.8,30,217,799,582
Skykey Sn-I7 Single -353 Bluetooth Headset,Skykey,White, True Wireless,3.3,85,166,799,633
Skykey Sn-I7 Single -353 Bluetooth Headset,Skykey,White, True Wireless,3.4,94,166,799,633
"Fier Fgn-K1B,K1W Pack 2Bluetooth,Headphone Bluetooth He...",Fier,Black, White,3.7,117,217,799,582
Tecno Ace A2 Se Bluetooth Headset,Tecno,Ace A2, True Wireless,3.3,353,394,799,405
U&I Zip Series Wired Headphone With Mic Wired Headset,U&I,Blue, On the Ear,3.4,490,299,799,500
Flysto Bt9-M165O B-White Bluetooth Headset,Flysto,Black::White, In the Ear,3.6,558,300,799,499
"Kawl Kep161 Octave Wired Earphone, Call Answer Hd Sound...",Kawl,Red, In the Ear,3.6,1904,199,799,600
Flysto Wirless B11 Bluetooth Neckband Bluetooth Headset,Flysto,Black, In the Ear,4,2834,300,799,499
"Fier Fgn-K1B,K1W Pack 2Bluetooth,Headphone Bluetooth He...",Fier,Black, White,3.7,6288,217,799,582
"Fier Fgn-K1B,K1W Pack 2Bluetooth,Headphone Bluetooth He...",Fier,Black, White,4.3,7171,217,799,582
Hitage In-Ear Extra Bass Earphone Wired Headset With Mi...,Hitage,Black, In the Ear,3.7,10787,156,799,643
Truke Fit 1 Bluetooth Headset,Truke,Blue, True Wireless,3.9,14974,799,799,0
Zebronics Zeb-200Hm Multimedia Headphone With Mic Wired...,Zebronics,Black, On the Ear,3.7,17002,499,799,300
"Fier Fgn-K1B,K1W Pack 2Bluetooth,Headphone Bluetooth He...",Fier,Black, White,3.3,26491,217,799,582
Foxne Point Wireless Bluetooth 4.1 Headset With Mic For...,Foxne,White, In the Ear,4,29660,216,799,583
A R Wireless Compatible With Headset Bluetooth Sport Me...,A R,Red, Multicolor,3.9,35280,188,799,611
Realme Buds 2 Wired Headset,Realme,Black, In the Ear,4.2,229212,599,799,200
Fier Fgn Magnet Red & Black-K1-I7 Pack Of 4 Bluetooth H...,Fier,Red and Black, White,4.3,310831,468,799,331
"Fier Fgn-K1B,K1W Pack 2Bluetooth,Headphone Bluetooth He...",Fier,Black, White,4,333036,217,799,582
Realme Buds 2 Wired Headset,Realme,Orange, In the Ear,4.3,535144,599,799,200
Casadomani Dual Twins Wireless Earbuds With Mic Mini Bl...,Casadomani,White, True Wireless,4.3,1104456,349,800,451
Casa Tech Portable Wireless Bluetooth Earphones For All...,Casa,White, True Wireless,4,3,349,800,451
"Yodnso Op_Po F9 Pro, F11 A3S, A7, A5, A83, F5, F7, K1 E...",Yodnso,White, In the Ear,3.5,4,149,800,651
Zoyaslix Best Sam_Sung Ys Hendfree S6 For J4/J5/J7/J8/A...,Zoyaslix,White, In the Ear,4.8,6,202,800,598
Casa Tech True Wireless Chargeable Earbud Bluetooth Hea...,Casa,White, True Wireless,4.4,7,349,800,451
Zoyaslix Best Sam_Sung Ys Hendfree S6 For J4/J5/J7/J8/A...,Zoyaslix,White, In the Ear,4.3,7,202,800,598
Casadomani Dual Twins Wireless Earbuds With Mic Mini Bl...,Casadomani,White, True Wireless,3.7,54,349,800,451
Casa Tech Super I7S Twins Wireless Bluetooth Earbud Ear...,Casa,White, True Wireless,3.4,697,349,800,451
Alafi Viv_O Hendfree For Red_Mi/Op_Po/Sam_Sung/Mo_To /H...,Vlvo,White, In the Ear,4,1032,149,800,651
"Yodnso Op_Po F9 Pro, F11 A3S, A7, A5, A83, F5, F7, K1 E...",Yodnso,White, In the Ear,4.2,6771,149,800,651
Boat Bassheads 100 Wired Headset,Boat,White, In the Ear,3.7,6288,399,839,440
Nine9 Bluetooth Headphone With Fm/Sd Card Bluetooth Hea...,Nine9,White, On the Ear,4.3,36720,499,843,344
Crossbuzz Plus1Bullet Wireless 3 Neckband Bluetooth Bas...,Crossbuzz,Black, In the Ear,5,1164786,499,890,391
Catbull Wireless Neckband Bluetooth Bluetooth Headset B...,Catbull,Black, In the Ear,5,722937,233,899,666
Hey For Fier K1 B Pack Of 2 Bluetooth Headset V4.1 Blue...,Hey,Black, True Wireless,5,280775,201,899,698
Catbull Buds Wireless With 24 Hours Music Playback Blue...,Catbull,Black, In the Ear,2.3,3,233,899,666
Catbull S530 Hands-Free Earphone For All Smartphone Blu...,Catbull,Black, True Wireless,4.3,4,138,899,761
Digiclues Smart Tws With Charging Case & Power Bank Hd ...,Digiclues,Black, True Wireless,3.8,14,1299,899,400
Ubon Passion Series Cl-75 Bluetooth Headset,Ubon,Black, In the Ear,3.7,31,589,899,310
Touch Care High Bass Earphones Wired Headset,Touch,White, In the Ear,3.7,170,177,899,722
Brd Bluetoothheadset-A26 Bluetooth Headset,Brd,White, True Wireless,3.7,185,260,899,639
Techel 38 _Bluetooth Earbuds|Bluetooth Heads Bluetooth ...,Techel,White, True Wireless,3.9,316,349,899,550
Techel 38 _Bluetooth Earbuds|Bluetooth Heads Bluetooth ...,Techel,White, True Wireless,3.9,316,349,899,550
Hey For Fier I7S Single Ear Best New Design And Lightwe...,Hey,White, True Wireless,3.5,431,160,899,739
"Audonic Earphones With Mic For A3S,A5S,A7,A37,A57,A71,A...",Audonic,White, In the Ear,3.6,1238,268,899,631
Hey For Fier K1 B Pack Of 2 Bluetooth Headset V4.1 Blue...,Hey,Black, True Wireless,3.9,1893,201,899,698
Nine9 Bluetooth Headphone With Fm/Sd Card Bluetooth Hea...,Nine9,Blue, On the Ear,3.5,1920,499,899,400
Delmohut Hp17 Mini Mineckband In-Ear Headphone With Mic...,Delmohut,Black, In the Ear,4,2834,277,899,622
"Ubon Wireless Neckband Fleetbeat Cl-76, Built-In Sd-Car...",Ubon,Black, In the Ear,3.5,3534,799,899,100
Gogadget 2 Combo Earphone Mh3169 Wired Headset,Gogadget,White, In the Ear,4,7195,232,899,667
Nine9 Bluetooth Headphone With Fm/Sd Card Bluetooth Hea...,Nine9,Blue, On the Ear,3.7,8221,499,899,400
Amj Sports 9-R1 Wireless Bluetooth Bluetooth Headset,Amj,Yellow, In the Ear,3.9,10398,238,899,661
Gogadget 2 Combo Earphone Mh3169 Wired Headset,Gogadget,White, In the Ear,4,10950,232,899,667
Amj Sports 9-R1 Wireless Bluetooth Bluetooth Headset,Amj,Yellow, In the Ear,4.4,20395,238,899,661
Hey For Fier Magnet Blutooth Headset For All Supported ...,Hey,Black, In the Ear,3.9,35280,157,899,742
Smartkart Classical Sound Earphone 3.5 Mm Jack With Ext...,Smartkart,White, In the Ear,4.3,36720,198,899,701
"Fier Fgn K1, Magnet Pack 2 Bluetooth Headset Bluetooth ...",Fier,Black, True Wireless,4,333036,224,899,675
U&I Fighter Series Deep Bass Neckband With 12 Hours Mus...,U&I,Black, In the Ear,3.3,4052,399,950,551
Ambrane Neobuds-33 Bluetooth Headset,Ambrane,White, True Wireless,3.4,20,999,990,9
Boat Bassheads 172 Wired Headset,Boat,Raging Red, In the Ear,5,815937,499,999,500
Boult Audio Bassbuds X1 Wired Headset,Boult,Red, In the Ear,4,205157,299,999,700
Digiclues Smart Tws Buds-Max With Charging Case Hd Soun...,Digiclues,Black, True Wireless,5,479634,1499,999,500
Fier Mgnt_K1-2 Bluetooth Headset Bluetooth Without Mic ...,Fier,Black, True Wireless,4,594929,228,999,771
Fier Mgnt_K1-2 Bluetooth Headset Bluetooth Without Mic ...,Fier,Black, True Wireless,5,583746,228,999,771
Fier Mgnt_K1-2 Bluetooth Headset Bluetooth Without Mic ...,Fier,Black, True Wireless,4,912751,228,999,771
N2B Tws Twins Wireless Bluetooth Earphone With Mic Head...,N2B,White, In the Ear,4,885662,399,999,600
Padraig Metal Magnetic Wireless Bluetooth Sports Stereo...,Padraig,Multicolor, In the Ear,5,297070,219,999,780
Prembrothers U&I Titanic Series Uinb-3987 Neckband With...,Prembrothers,Black, In the Ear,5,1180434,598,999,401
Boult Audio Bass Buds Stormx Wired Headset,Boult,Red, In the Ear,4.8,5,299,999,700
Icall Bbd-S650 Mini Bluetooth Or K1 Bluetooth Headset,Icall,Black, True Wireless,4,6,299,999,700
Tigenecy Low Price All Mobile'Supported Bluetooth 2 Pic...,Tigenecy,Black, True Wireless,4.3,9,232,999,767
Ptron Soundster Lite Bluetooth Headset,Ptron,Black, On the Ear,3.5,13,799,999,200
Brd Bluetoothheadset-A37 Bluetooth Headset,Brd,White, Black,3.7,23,240,999,759
Cadnut Gala115 Bluetooth Headset,Cadnut,White, True Wireless,3.2,23,345,999,654
Duet Jbl Mini Bluetooth Headset,Jbl,Black, In the Ear,3.6,26,239,999,760
Xb9 B11 Neckband Wirless Headset P1 Bluetooth Headset,Xb9,Blue, In the Ear,3.7,38,300,999,699
